ДГг-1-1    ФГИ/ХОПП1  25 071002-1-2-3I           071002-1-2-3.pli.xml/1/1                          
ДТпм-5-1   ФПТ     5  14 150407-5I               150407-5.pli/5/1                                  
ДТмт-5-1   ФПТ     5  12 150601-5I               150601-5.pli/5/1                                  
ДТук-4-1   ФПТ     4  17 220501-4I               220501-4.pli/4/1                                  
ДТук-5-1   ФПТ     5  17 220501-5I               220501-5.pli/5/1                                  
ДТукБ-3-1  ФПТ     3  8  221400-3M               221400-3.plm.xml/3/1                              
ДТпупБ-1-1 ФПТ     1  25 261700-1M               261700-1.plm.xml/1/1                              
ДТпупБ-1-2 ФПТ     1  25 261700-1M               261700-1.plm.xml/1/2                              
ДТпупБ-1-3 ФПТ     1  25 261700-1M               261700-1.plm.xml/1/3                              
ДТпупБ-2-1 ФПТ     2  17 261700-2M               261700-2.plm.xml/2/1                              
ДТпупБ-2-2 ФПТ     2  17 261700-2M               261700-2.plm.xml/2/2                              
ДТпупБ-2-3 ФПТ     2  17 261700-2M               261700-2.plm.xml/2/3                              
ДТпупБ-3-1 ФПТ     3  17 2617001-3M              2617001-3.plm.xml/3/1                             
ДТпупБ-3-2 ФПТ     3  17 2617001-3M              2617001-3.plm.xml/3/2                             
ДТмтМ-1-1  ФПТ     5  10 150100-5M               150100-5.plm.xml/5/1                              
ДТмтМ-2-1  ФПТ     6  8  150100-6M               150100-6.plm.xml/6/1                              
ВКж-4-1    ФИДиЖ   4  7  03060101-4-5-6-ВЕЧI     03060101-4-5-6-веч.pli/4/1                        
ВКж-5-2    ФИДиЖ   5  11 03060101-4-5-6-ВЕЧI     03060101-4-5-6-веч.pli/5/1                        
ВКж-6-1    ФИДиЖ   6  18 03060101-4-5-6-ВЕЧI     03060101-4-5-6-веч.pli/6/1                        
ВКж-5-1    ФИДиЖ   5  11 03060102-5-6-ВЕЧI       03060102-5-6-веч.pli/5/1                          
ВКж-6-2    ФИДиЖ   6  24 03060102-5-6-ВЕЧI       03060102-5-6-веч.pli/6/1                          
ВКир-6-3   ФИДиЖ   6  13 03090102-6-ВЕЧI         03090102-6-веч.pli/6/1                            
ВКир-6-2   ФИДиЖ   6  12 03090103-6-ВЕЧI         03090103-6-веч.pli/6/1                            
ВКир-5-2   ФИДиЖ   5  11 03090104-5-6-ВЕЧI       03090104-5-6-веч.pli/5/1                          
ВКир-6-1   ФИДиЖ   6  9  03090104-5-6-ВЕЧI       03090104-5-6-веч.pli/6/1                          
ВКк-5-1    ФИДиЖ   5  17 03090301-5-6-ВЕЧI       03090301-5-6-веч.pli/5/1                          
ВКк-6-1    ФИДиЖ   6  15 03090301-5-6-ВЕЧI       03090301-5-6-веч.pli/6/1                          
ВКк-6-2    ФИДиЖ   6  13 03090303-6-ВЕЧI         03090303-6-веч.pli/6/1                            
ДКкдБ-4-1  ФИДиЖ   4  16 030900-4M               030900-4.plm/4/1                                  
ДКкдБ-4-2  ФИДиЖ   4  19 030900-4M               030900-4.plm/4/2                                  
ДКидМ-1-1  ФИДиЖ   5  10 0350001-5-6M            0350001-5-6.plm.xml/5/1                           
ДКидМ-2-1  ФИДиЖ   6  6  0350001-5-6M            0350001-5-6.plm.xml/6/1                           
ДКж-4-1    ФИДиЖ   4  9  03060101-4-5I           03060101-4-5.pli/4/1                              
ДКж-5-1    ФИДиЖ   5  17 03060101-4-5I           03060101-4-5.pli/5/1                              
ДКж-4-2    ФИДиЖ   4  8  03060102-4-5I           03060102-4-5.pli/4/1                              
ДКж-5-2    ФИДиЖ   5  16 03060102-4-5I           03060102-4-5.pli/5/1                              
ДКир-4-1   ФИДиЖ   4  12 03090101-4-5I           03090101-4-5.pli/4/1                              
ДКир-5-1   ФИДиЖ   5  9  03090101-4-5I           03090101-4-5.pli/5/1                              
ДКир-4-2   ФИДиЖ   4  12 03090102-4-5I           03090102-4-5.pli/4/1                              
ДКир-5-2   ФИДиЖ   5  9  03090102-4-5I           03090102-4-5.pli/5/1                              
ДКир-4-3   ФИДиЖ   4  12 03090103-4-5I           03090103-4-5.pli/4/1                              
ДКир-5-3   ФИДиЖ   5  10 03090103-4-5I           03090103-4-5.pli/5/1                              
ДКир-4-4   ФИДиЖ   4  12 03090104-4-5I           03090104-4-5.pli/4/1                              
ДКир-5-4   ФИДиЖ   5  9  03090104-4-5I           03090104-4-5.pli/5/1                              
ДКк-5-3    ФИДиЖ   5  6  03090301-5I             03090301-5.pli/5/1                                
